@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
1046,'2022/01/20 16:16:47:765',77,47,0,0,0,7,0.79,10,49,79,111,137
1047,'2022/01/20 16:16:47:868',77,46,0,0,0,7,0.79,10,49,79,111,137
1048,'2022/01/20 16:16:47:966',77,46,0,0,0,7,0.79,10,49,79,111,137
1049,'2022/01/20 16:16:48:065',77,46,0,0,0,7,0.79,10,49,79,111,137
1050,'2022/01/20 16:16:48:166',77,46,0,0,0,7,0.79,10,49,79,111,137
1051,'2022/01/20 16:16:48:265',77,46,0,0,0,7,0.79,10,49,79,111,137
1052,'2022/01/20 16:16:48:366',77,46,0,0,0,7,0.79,10,49,79,111,137
1053,'2022/01/20 16:16:48:465',77,46,0,0,0,7,0.79,10,49,79,111,137
1054,'2022/01/20 16:16:48:566',77,46,0,0,0,7,0.79,10,49,79,111,137
1055,'2022/01/20 16:16:51:666',78,54,48,0.0337,0.0143,7,0.79,10,49,79,111,137
1056,'2022/01/20 16:16:51:765',78,54,48,0.0541,0.0141,7,0.79,10,49,79,111,137
1057,'2022/01/20 16:16:51:865',78,54,48,0.0404,0.0105,7,0.79,10,49,79,111,137
1058,'2022/01/20 16:16:51:965',78,54,48,0.0296,0.0075,7,0.79,10,49,79,111,137
1059,'2022/01/20 16:16:52:065',78,54,48,0.0228,0.0058,7,0.79,10,49,79,111,137
1060,'2022/01/20 16:16:52:165',78,54,54,0.0039,0.0038,7,0.79,10,49,79,111,137
1061,'2022/01/20 16:16:52:265',78,35,0,0,0,7,0.79,10,49,79,111,137
1062,'2022/01/20 16:16:52:365',78,35,0,0,0,7,0.79,10,49,79,111,137
1063,'2022/01/20 16:16:52:465',78,35,0,0,0,7,0.79,10,49,79,111,137
1064,'2022/01/20 16:16:52:565',78,35,0,0,0,7,0.79,10,49,79,111,137
1065,'2022/01/20 16:16:55:065',79,66,44,0.8738,0.4951,7,0.79,10,49,79,111,137
1066,'2022/01/20 16:16:55:165',79,66,44,1,0.7107,7,0.79,10,49,79,111,137
1067,'2022/01/20 16:16:55:265',79,66,44,1,0.4765,7,0.79,10,49,79,111,137
1068,'2022/01/20 16:16:55:365',79,66,44,0.7699,0.3337,7,0.79,10,49,79,111,137
1069,'2022/01/20 16:16:55:467',79,66,44,0.5675,0.2529,7,0.79,10,49,79,111,137
1070,'2022/01/20 16:16:55:565',79,66,44,0.4267,0.2005,7,0.79,10,49,79,111,137
1071,'2022/01/20 16:16:55:665',79,66,44,0.3245,0.157,7,0.79,10,49,79,111,137
1072,'2022/01/20 16:16:55:765',79,66,44,0.2562,0.1235,7,0.79,10,49,79,111,137
1073,'2022/01/20 16:16:55:865',79,66,44,0.2074,0.0971,7,0.79,10,49,79,111,137
1074,'2022/01/20 16:16:55:965',79,66,44,0.1679,0.0769,7,0.79,10,49,79,111,137
1075,'2022/01/20 16:16:58:265',80,78,56,0.0945,0.4937,7,0.79,10,49,79,111,137
1076,'2022/01/20 16:16:58:365',80,78,56,0.2222,0.4088,7,0.79,10,49,79,111,137
1077,'2022/01/20 16:16:58:465',80,78,56,0.2493,0.323,7,0.79,10,49,79,111,137
1078,'2022/01/20 16:16:58:565',80,78,56,0.2399,0.2215,7,0.79,10,49,79,111,137
1079,'2022/01/20 16:16:58:665',80,78,56,0.1646,0.1209,7,0.79,10,49,79,111,137
1080,'2022/01/20 16:16:58:765',80,78,56,0.0595,0.0396,7,0.79,10,49,79,111,137
1081,'2022/01/20 16:16:58:865',80,66,0,0,0,7,0.79,10,49,79,111,137
1082,'2022/01/20 16:16:58:965',80,78,56,0.0125,0.008,7,0.79,10,49,79,111,137
1083,'2022/01/20 16:16:59:065',80,44,0,0,0,7,0.79,10,49,79,111,137
1084,'2022/01/20 16:17:10:465',81,55,0,0,0,51,0.79,40,131,177,8,390
1085,'2022/01/20 16:17:10:565',81,55,0,0,0,51,0.79,40,131,177,8,390
1086,'2022/01/20 16:17:10:665',81,55,0,0,0,51,0.79,40,131,177,8,390
1087,'2022/01/20 16:17:10:765',81,55,0,0,0,51,0.79,40,131,177,8,390
1088,'2022/01/20 16:17:10:865',81,55,0,0,0,51,0.79,40,131,177,8,390
1089,'2022/01/20 16:17:10:965',81,55,0,0,0,51,0.79,40,131,177,8,390
1090,'2022/01/20 16:17:11:065',81,55,0,0,0,51,0.79,40,131,177,8,390
1091,'2022/01/20 16:17:11:165',81,55,0,0,0,51,0.79,40,131,177,8,390
1092,'2022/01/20 16:17:11:265',81,55,0,0,0,51,0.79,40,131,177,8,390
1093,'2022/01/20 16:17:11:365',81,55,0,0,0,51,0.79,40,131,177,8,390
1094,'2022/01/20 16:17:11:465',81,55,0,0,0,51,0.79,40,131,177,8,390
1095,'2022/01/20 16:17:13:165',82,68,50,0.016,0.0186,51,0.79,40,131,177,8,390
1096,'2022/01/20 16:17:13:265',82,56,50,0.0383,0.0385,51,0.79,40,131,177,8,390
1097,'2022/01/20 16:17:13:365',82,56,50,0.0324,0.0259,51,0.79,40,131,177,8,390
1098,'2022/01/20 16:17:13:465',82,68,50,0.0227,0.0179,51,0.79,40,131,177,8,390
1099,'2022/01/20 16:17:13:565',82,56,50,0.0141,0.0097,51,0.79,40,131,177,8,390
1100,'2022/01/20 16:17:13:665',82,56,54,0.0064,0,51,0.79,40,131,177,8,390
1101,'2022/01/20 16:17:13:765',82,56,54,0.0047,0,51,0.79,40,131,177,8,390
1102,'2022/01/20 16:17:13:865',82,35,0,0,0,51,0.79,40,131,177,8,390
1103,'2022/01/20 16:17:13:965',82,35,0,0,0,51,0.79,40,131,177,8,390
1104,'2022/01/20 16:17:14:065',82,35,0,0,0,51,0.79,40,131,177,8,390
1105,'2022/01/20 16:17:23:065',83,68,46,1,0.4445,51,0.79,40,131,177,8,390
1106,'2022/01/20 16:17:23:165',83,68,46,1,0.5255,51,0.79,40,131,177,8,390
1107,'2022/01/20 16:17:23:265',83,68,46,1,0.3582,51,0.79,40,131,177,8,390
1108,'2022/01/20 16:17:23:365',83,68,46,0.7478,0.229,51,0.79,40,131,177,8,390
1109,'2022/01/20 16:17:23:465',83,68,46,0.4774,0.1527,51,0.79,40,131,177,8,390
1110,'2022/01/20 16:17:23:565',83,68,46,0.3223,0.1236,51,0.79,40,131,177,8,390
1111,'2022/01/20 16:17:23:665',83,68,46,0.2499,0.1108,51,0.79,40,131,177,8,390
1112,'2022/01/20 16:17:23:765',83,68,46,0.2129,0.105,51,0.79,40,131,177,8,390
1113,'2022/01/20 16:17:23:865',83,68,46,0.1916,0.0994,51,0.79,40,131,177,8,390
1114,'2022/01/20 16:17:23:965',83,68,46,0.1746,0.0877,51,0.79,40,131,177,8,390
1115,'2022/01/20 16:17:24:065',83,68,46,0.1541,0.0708,51,0.79,40,131,177,8,390
1116,'2022/01/20 16:17:24:165',83,68,46,0.1266,0.0525,51,0.79,40,131,177,8,390
1117,'2022/01/20 16:17:35:065',84,68,58,0.3363,0.5679,51,0.79,40,131,177,8,390
1118,'2022/01/20 16:17:35:165',84,68,58,0.2421,0.6423,51,0.79,40,131,177,8,390
1119,'2022/01/20 16:17:35:265',84,68,58,0.0375,0.3445,51,0.79,40,131,177,8,390
1120,'2022/01/20 16:17:35:365',84,68,58,0.0486,0.192,51,0.79,40,131,177,8,390
1121,'2022/01/20 16:17:35:465',84,68,58,0.0159,0.0662,51,0.79,40,131,177,8,390
1122,'2022/01/20 16:17:35:565',84,68,58,0.0043,0.0203,51,0.79,40,131,177,8,390
1123,'2022/01/20 16:17:35:665',84,68,58,0.0081,0.0363,51,0.79,40,131,177,8,390
1124,'2022/01/20 16:17:35:765',84,68,58,0.0098,0.0436,51,0.79,40,131,177,8,390
1125,'2022/01/20 16:17:35:865',84,68,58,0.0058,0.039,51,0.79,40,131,177,8,390
1126,'2022/01/20 16:17:35:965',84,68,58,0.0045,0.0276,51,0.79,40,131,177,8,390
1127,'2022/01/20 16:17:46:065',85,39,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1128,'2022/01/20 16:17:46:165',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1129,'2022/01/20 16:17:46:265',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1130,'2022/01/20 16:17:46:365',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1131,'2022/01/20 16:17:46:465',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1132,'2022/01/20 16:17:46:565',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1133,'2022/01/20 16:17:46:665',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1134,'2022/01/20 16:17:46:765',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1135,'2022/01/20 16:17:46:865',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1136,'2022/01/20 16:17:46:965',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1137,'2022/01/20 16:17:47:065',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1138,'2022/01/20 16:17:47:165',85,46,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1139,'2022/01/20 16:17:50:565',86,58,52,0.0224,0.0142,60,0.85,57.709999,10.39,33,25.299999,11.2
1140,'2022/01/20 16:17:50:665',86,58,52,0.0238,0.0635,60,0.85,57.709999,10.39,33,25.299999,11.2
1141,'2022/01/20 16:17:50:765',86,58,55,0.024,0.0124,60,0.85,57.709999,10.39,33,25.299999,11.2
1142,'2022/01/20 16:17:50:866',86,58,54,0.0248,0.0172,60,0.85,57.709999,10.39,33,25.299999,11.2
1143,'2022/01/20 16:17:50:965',86,58,52,0.013,0.0172,60,0.85,57.709999,10.39,33,25.299999,11.2
1144,'2022/01/20 16:17:51:065',86,58,43,0.0689,0.0053,60,0.85,57.709999,10.39,33,25.299999,11.2
1145,'2022/01/20 16:17:51:165',86,43,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1146,'2022/01/20 16:17:51:266',86,43,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1147,'2022/01/20 16:17:51:366',86,43,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1148,'2022/01/20 16:17:54:665',87,70,48,0.9583,0.3341,60,0.85,57.709999,10.39,33,25.299999,11.2
1149,'2022/01/20 16:17:54:765',87,70,48,0.5442,0.255,60,0.85,57.709999,10.39,33,25.299999,11.2
1150,'2022/01/20 16:17:54:866',87,70,48,0.2237,0.1798,60,0.85,57.709999,10.39,33,25.299999,11.2
1151,'2022/01/20 16:17:54:965',87,70,48,0.0983,0.1308,60,0.85,57.709999,10.39,33,25.299999,11.2
1152,'2022/01/20 16:17:55:065',87,70,48,0.0738,0.0945,60,0.85,57.709999,10.39,33,25.299999,11.2
1153,'2022/01/20 16:17:55:166',87,70,48,0.058,0.0646,60,0.85,57.709999,10.39,33,25.299999,11.2
1154,'2022/01/20 16:17:55:266',87,70,48,0.0348,0.0391,60,0.85,57.709999,10.39,33,25.299999,11.2
1155,'2022/01/20 16:17:55:365',87,70,48,0.0155,0.0197,60,0.85,57.709999,10.39,33,25.299999,11.2
1156,'2022/01/20 16:17:55:465',87,36,0,0,0,60,0.85,57.709999,10.39,33,25.299999,11.2
1157,'2022/01/20 16:18:04:965',88,58,43,0.9528,0.033,60,0.85,57.709999,10.39,33,25.299999,11.2
1158,'2022/01/20 16:18:05:065',88,58,43,0.7744,0.0318,60,0.85,57.709999,10.39,33,25.299999,11.2
1159,'2022/01/20 16:18:05:165',88,58,43,0.5915,0.0611,60,0.85,57.709999,10.39,33,25.299999,11.2
1160,'2022/01/20 16:18:05:265',88,70,58,0.0658,0.0311,60,0.85,57.709999,10.39,33,25.299999,11.2
1161,'2022/01/20 16:18:05:365',88,70,55,0.0143,0.05,60,0.85,57.709999,10.39,33,25.299999,11.2
1162,'2022/01/20 16:18:05:466',88,70,58,0.046,0.0227,60,0.85,57.709999,10.39,33,25.299999,11.2
1163,'2022/01/20 16:18:05:565',88,70,58,0.0423,0.0196,60,0.85,57.709999,10.39,33,25.299999,11.2
1172,'2022/01/20 16:18:40:166',90,40,0,0,0,52,0.34,78,8,16.299999,323,43
1173,'2022/01/20 16:18:40:267',90,72,50,0.9686,0.3288,52,0.34,78,8,16.299999,323,43
1174,'2022/01/20 16:18:40:366',90,72,50,0.6474,0.2565,52,0.34,78,8,16.299999,323,43
1175,'2022/01/20 16:18:40:466',90,72,50,0.478,0.1692,52,0.34,78,8,16.299999,323,43
1176,'2022/01/20 16:18:40:566',90,72,50,0.4016,0.1059,52,0.34,78,8,16.299999,323,43
1177,'2022/01/20 16:18:40:666',90,72,50,0.2978,0.0687,52,0.34,78,8,16.299999,323,43
